price,location,area,year,rooms,level,state
289 000 zł,"Kraków, Krowodrza, Fryderyka Chopina",45 m²,1944,2,1,do zamieszkania
290 000 zł,"Kraków, Krowodrza, ul. Wójtowska","24,24 m²",1975,1,8,do wykończenia
305 000 zł,"Kraków, Krowodrza, Łobzów","28,08 m²",1974,1,4,do zamieszkania
306 000 zł,"Kraków, Krowodrza, al. Kijowska","20,97 m²",2019,1,4,do wykończenia
306 000 zł,"Kraków, Krowodrza, al. Kijowska","20,97 m²",2019,1,4,do wykończenia
310 000 zł,"Kraków, Krowodrza",26 m²,1974,1,2,do zamieszkania
313 835 zł,"Kraków, Krowodrza","27,29 m²",2021,1,2,do wykończenia
315 000 zł,"Kraków, Krowodrza, ul. Piotra Stachiewicza",37 m²,1967,2,parter,do zamieszkania
315 000 zł,"Kraków, Krowodrza, ul. Stańczyka","29,33 m²",2021,1,6,do wykończenia
319 000 zł,"Kraków, Krowodrza","30,77 m²",1914,1,4,do zamieszkania
320 000 zł,"Kraków, Krowodrza",37 m²,1960,2,parter,do remontu
320 000 zł,"Kraków, Krowodrza, Adama Vetulaniego",34 m²,2021,2,2,do zamieszkania
320 000 zł,"Kraków, Krowodrza, Henryka Pachońskiego","34,30 m²",2021,2,2,do wykończenia
324 000 zł,"Kraków, Krowodrza, Łobzów",24 m²,1945,1,4,do zamieszkania
327 474 zł,"Kraków, Krowodrza","28,98 m²",2021,1,5,do wykończenia
329 000 zł,"Kraków, Krowodrza, al. Kijowska","24,01 m²",2019,1,4,do wykończenia
329 000 zł,"Kraków, Krowodrza, al. Kijowska","22,52 m²",2019,1,1,do wykończenia
329 508 zł,"Kraków, Krowodrza","29,16 m²",2021,1,parter,do wykończenia
335 000 zł,"Kraków, Krowodrza","32,16 m²",1914,1,4,do zamieszkania
335 497 zł,"Kraków, Krowodrza","29,69 m²",2021,1,1,do wykończenia
339 000 zł,"Kraków, Krowodrza","32,52 m²",1914,1,4,do zamieszkania
339 000 zł,"Kraków, Krowodrza","24,88 m²",1914,1,4,do zamieszkania
339 000 zł,"Kraków, Krowodrza, Żabiniec","28,50 m²",2015,1,3,do zamieszkania
339 000 zł,"Kraków, Krowodrza, Piotra Stachiewicza",38 m²,1970,2,2,do zamieszkania
339 900 zł,"Kraków, Krowodrza, ul. Zdrowa",30 m²,1990,1,5,do zamieszkania
340 000 zł,"Kraków, Krowodrza, Lubelska","23,52 m²",2015,1,3,do zamieszkania
340 000 zł,"Kraków, Krowodrza, Lubelska",24 m²,2017,1,3,do zamieszkania
515 000 zł,"Kraków, Krowodrza, Rusznikarska",63 m²,1997,3,parter,do zamieszkania
349 000 zł,"Kraków, Krowodrza",39 m²,1930,1,3,do remontu
349 000 zł,"Kraków, Krowodrza, Stefana Banacha","44,06 m²",2020,2,2,do wykończenia
349 900 zł,"Kraków, Krowodrza, Adama Vetulaniego","37,12 m²",2021,2,parter,do wykończenia
350 000 zł,"Kraków, Krowodrza, Kazimierza Pużaka",35 m²,1980,2,4,do zamieszkania
350 000 zł,"Kraków, Krowodrza, Wojciecha Weissa",43 m²,1988,2,3,do zamieszkania
350 000 zł,"Kraków, Krowodrza, ul. Eljasza Walerego Radzikowskiego",48 m²,2020,3,1,do wykończenia
352 000 zł,"Kraków, Krowodrza, Bartosza Głowackiego","32,32 m²",2021,1,4,do wykończenia
352 000 zł,"Kraków, Krowodrza, Bartosza Głowackiego",33 m²,2021,2,3,do zamieszkania
354 844 zł,"Kraków, Krowodrza","34,96 m²",2021,2,2,do wykończenia
355 000 zł,"Kraków, Krowodrza, al. Kijowska","25,44 m²",2019,2,1,do wykończenia
355 000 zł,"Kraków, Krowodrza, al. Kijowska","25,37 m²",2019,2,1,do wykończenia
358 000 zł,"Kraków, Krowodrza, Wrocławska",27 m²,2020,1,5,do wykończenia
359 000 zł,"Kraków, Krowodrza","34,04 m²",1914,1,4,do zamieszkania
359 000 zł,"Kraków, Krowodrza, Stefana Banacha","44,15 m²",2020,2,2,do wykończenia
359 000 zł,"Kraków, Krowodrza, Stefana Banacha","44,06 m²",2020,2,2,do wykończenia
360 000 zł,"Kraków, Krowodrza, al. Kijowska",30 m²,2011,1,5,do zamieszkania
360 000 zł,"Kraków, Krowodrza, Królewska",34 m²,1943,1,parter,do remontu
360 000 zł,"Kraków, Krowodrza",30 m²,2011,1,5,do zamieszkania
361 400 zł,"Kraków, Krowodrza, Mazowiecka",26 m²,1930,1,parter,do zamieszkania
363 978 zł,"Kraków, Krowodrza","33,24 m²",2021,2,2,do wykończenia
365 000 zł,"Kraków, Krowodrza","36,32 m²",1975,2,1,do zamieszkania
369 000 zł,"Kraków, Krowodrza, al. Kijowska","27,29 m²",2019,2,3,do wykończenia
369 645 zł,"Kraków, Krowodrza","38,91 m²",2021,2,parter,do wykończenia
375 000 zł,"Kraków, Krowodrza, Wrocławska",30 m²,2018,1,2,do zamieszkania
376 933 zł,"Kraków, Krowodrza","41,65 m²",2021,2,parter,do wykończenia
377 115 zł,"Kraków, Krowodrza","40,55 m²",2021,2,parter,do wykończenia
379 900 zł,"Kraków, Krowodrza, Adama Vetulaniego",40 m²,2021,2,5,do wykończenia
380 000 zł,"Kraków, Krowodrza, Krowodrza Górka","32,57 m²",2014,1,parter,do zamieszkania
380 000 zł,"Kraków, Krowodrza, Oboźna 17","27,55 m²",1945,1,2,do wykończenia
385 000 zł,"Kraków, Krowodrza, Wrocławska","28,10 m²",2015,1,3,do zamieszkania
385 000 zł,"Kraków, Krowodrza, Armii Krajowej","35,38 m²",1985,2,> 10,do zamieszkania
388 600 zł,"Kraków, Krowodrza",29 m²,2022,2,parter,do wykończenia
388 600 zł,"Kraków, Krowodrza",29 m²,2022,1,parter,do wykończenia
390 000 zł,"Kraków, Krowodrza, Stanisława Skarbińskiego",37 m²,1968,2,1,do zamieszkania
390 000 zł,"Kraków, Krowodrza, Adama Vetulaniego","39,32 m²",2021,2,2,do wykończenia
391 720 zł,"Kraków, Krowodrza",28 m²,2022,1,4,do wykończenia
391 720 zł,"Kraków, Krowodrza",28 m²,2022,1,4,do wykończenia
391 720 zł,"Kraków, Krowodrza, Kazimierza Wielkiego",28 m²,2021,2,4,do wykończenia
392 000 zł,"Kraków, Krowodrza",32 m²,2010,1,1,do zamieszkania
395 000 zł,"Kraków, Krowodrza, Oboźna 17","28,42 m²",2019,1,3,do wykończenia
395 300 zł,"Kraków, Krowodrza, Kazimierza Wielkiego","29,50 m²",2020,2,parter,do wykończenia
397 498 zł,"Kraków, Krowodrza","27,34 m²",2019,1,parter,do zamieszkania
217 000 zł,"Kraków, Krowodrza, Radzikowskiego 56","21,70 m²",2020,1,parter,do wykończenia
339 900 zł,"Kraków, Krowodrza, ul. Zdrowa",30 m²,1990,1,5,do zamieszkania
399 000 zł,"Kraków, Krowodrza, Królewska","37,40 m²",1975,1,4,do remontu
399 000 zł,"Kraków, Krowodrza, ul. Żabiniec","29,30 m²",2020,2,4,do zamieszkania
399 000 zł,"Kraków, Krowodrza, ul. Stańczyka","41,31 m²",2021,2,3,do wykończenia
401 900 zł,"Kraków, Krowodrza, Adama Vetulaniego",43 m²,2021,2,1,do wykończenia
409 000 zł,"Kraków, Krowodrza, Łobzów","35,36 m²",1930,2,2,do wykończenia
409 990 zł,"Kraków, Krowodrza, Łobzów, ul. Józefa Friedleina 1","35,36 m²",1930,2,2,do zamieszkania
410 000 zł,"Kraków, Krowodrza, ul. Oboźna 17","29,45 m²",2019,1,4,do wykończenia
415 000 zł,"Kraków, Krowodrza, Krowodrza Górka, ul. Opolska",38 m²,1980,2,2,do zamieszkania
415 000 zł,"Kraków, Krowodrza, Bronowicka",38 m²,2006,1,parter,do zamieszkania
415 900 zł,"Kraków, Krowodrza, Adama Vetulaniego","44,94 m²",2021,3,1,do wykończenia
420 000 zł,"Kraków, Krowodrza, ul. Wrocławska","30,16 m²",2018,1,2,do zamieszkania
422 370 zł,"Kraków, Krowodrza","44,46 m²",2021,3,6,do wykończenia
425 000 zł,"Kraków, Krowodrza, Marii Jaremy",38 m²,1960,2,1,do zamieszkania
425 000 zł,"Kraków, Krowodrza, Żabiniec",35 m²,2017,2,2,do zamieszkania
429 000 zł,"Kraków, Krowodrza","47,21 m²",1914,1,4,do zamieszkania
429 000 zł,"Kraków, Krowodrza, Królewska",32 m²,1930,1,3,do zamieszkania
430 000 zł,"Kraków, Krowodrza",38 m²,2000,1,parter,do zamieszkania
432 000 zł,"Kraków, Krowodrza","37,50 m²",1964,1,2,do remontu
435 000 zł,"Kraków, Krowodrza, Królewska","37,50 m²",1964,1,2,do remontu
439 000 zł,"Kraków, Krowodrza, Friedleina","48,60 m²",1966,2,3,do remontu
440 000 zł,"Kraków, Krowodrza, Poznańska","34,37 m²",2015,1,parter,do zamieszkania
440 000 zł,"Kraków, Krowodrza, Poznańska","34,37 m²",2015,1,parter,do zamieszkania
440 000 zł,"Kraków, Krowodrza, ul. Piastowska",32 m²,2020,2,1,do wykończenia
442 000 zł,"Kraków, Krowodrza, Stefana Banacha",58 m²,2020,3,1,do wykończenia
444 110 zł,"Kraków, Krowodrza","49,90 m²",2021,3,parter,do wykończenia
444 500 zł,"Kraków, Krowodrza",35 m²,2022,2,1,do wykończenia
445 000 zł,"Kraków, Krowodrza, Adama Vetulaniego",52 m²,2021,3,parter,do wykończenia
445 000 zł,"Kraków, Krowodrza, Królewska","33,55 m²",1930,1,3,do zamieszkania
446 125 zł,"Kraków, Krowodrza, Łobzów, Wrocławska","35,69 m²",2019,2,1,do wykończenia
448 000 zł,"Kraków, Krowodrza, Kazimierza Wielkiego",35 m²,2021,2,2,do wykończenia
448 780 zł,"Kraków, Krowodrza","53,11 m²",2021,3,parter,do wykończenia
450 000 zł,"Kraków, Krowodrza","49,50 m²",1970,3,9,do remontu
