price,location,area,year,rooms,level,state
299900,3,35.8,2020,1,2,1
300000,3,29.0,2019,1,2,2
305000,3,33.0,2000,1,1,2
313775,3,35.86,2021,2,2,1
314737,3,35.97,2021,2,2,1
315000,3,34.0,2003,1,6,0
318000,3,20.0,2020,1,2,2
319000,3,34.84,2004,1,1,2
319000,3,35.0,2004,1,1,2
320000,3,33.14,2001,1,0,2
320000,3,33.0,2001,1,0,2
320000,3,33.14,2002,1,0,2
324025,3,49.85,2020,2,0,1
325000,3,36.84,2020,2,0,1
357000,3,20.41,2020,2,4,2
525000,3,54.06,2007,2,1,2
581112,3,46.12,2020,2,1,1
325500,3,18.7,2020,1,3,2
325500,3,18.6,2020,1,1,2
325500,3,18.6,2020,1,2,2
327381,3,37.63,2021,2,2,1
329000,3,35.0,2020,2,0,2
329000,3,35.0,2020,2,0,2
329730,3,37.9,2021,2,2,1
329904,3,37.92,2021,2,2,1
329904,3,37.92,2021,2,2,1
330000,3,36.84,2020,2,0,1
335000,3,37.0,2020,2,0,1
336273,3,50.19,2021,2,1,1
336273,3,50.19,2021,2,1,1
336273,3,50.19,2021,2,2,1
337000,3,37.36,2015,2,0,2
339150,3,19.38,2020,1,2,2
344000,3,38.3,2013,2,2,2
344825,3,53.05,2020,2,0,1
346311,3,50.19,2022,2,3,1
346311,3,50.19,2021,2,3,1
